ORF;Gene Name;Raw Half life;Corrected Half Life
YER016W;BIM1;56;56
YER017C;AFG3;45;45
YER018C;SPC25;167;167
YER019C-A;SBH2;20;20
YER019W;ISC1;58;58
YER020W;GPA2;16;16
YER021W;RPN3;23;23
YER022W;SRB4;39;39
YER023W;PRO3;-337;300
YER024W;YAT2;83;83
YER027C;GAL83;34;34
YER029C;SMB1;-179;300
YER030W;;-75;300
YER031C;YPT31;77;77
YER032W;FIR1;3;3
YER034W;;60;60
YER035W;EDC2;52;52
YER036C;ARB1;53;53
YER037W;PHM8;36;36
YER038C;KRE29;172;172
YER040W;GLN3;3;3
YER041W;YEN1;18;18
YER042W;MXR1;145;145
YER044C;ERG28;3;3
YER047C;SAP1;34;34
YER049W;;35;35
YER050C;RSM18;66;66
YER051W;;38;38
YER052C;HOM3;78;78
YER053C-A;;-231;300
YER054C;GIP2;40;40
YER056C;FCY2;30;30
YER056C-A;RPL34A;102;102
YER057C;HMF1;-193;300
YER059W;PCL6;52;52
YER061C;CEM1;-299;300
YER062C;HOR2;-948;300
YER063W;THO1;63;63
YER064C;;2;2
YER067W;;-296;300
YER068W;MOT2;25;25
YER070W;RNR1;77;77
YER071C;;67;67
YER073W;ALD5;64;64
YER075C;PTP3;38;38
YER077C;;41;41
YER078C;;28;28
YER079W;;42;42
YER080W;FMP29;40;40
YER081W;SER3;192;192
YER082C;UTP7;54;54
YER084W;;17;17
YER086W;ILV1;44;44
YER087C-A;;55;55
YER087W;;3;3
YER088C;DOT6;18;18
YER089C;PTC2;100;100
YER090W;TRP2;39;39
YER091C;MET6;38;38
YER092W;IES5;75;75
YER093C-A;;1178;1178
YER095W;RAD51;60;60
YER098W;UBP9;9;9
YER099C;PRS2;-5160;300
YER100W;UBC6;26;26
YER101C;AST2;19;19
YER102W;RPS8B;98;98
YER103W;SSA4;-186;300
YER104W;RTT105;3;3
YER105C;NUP157;33;33
YER110C;KAP123;130;130
YER111C;SWI4;141;141
YER112W;LSM4;217;217
YER114C;BOI2;22;22
YER118C;SHO1;95;95
YER120W;SCS2;553;553
YER122C;GLO3;56;56
YER123W;YCK3;25;25
YER124C;DSE1;2;2
YER126C;NSA2;70;70
YER127W;LCP5;31;31
YER128W;;117;117
YER129W;PAK1;240;240
YER131W;RPS26B;144;144
YER132C;PMD1;3;3
YER133W;GLC7;61;61
YER134C;;-313;300
YER136W;GDI1;-85;300
YER139C;;92;92
YER141W;COX15;50;50
YER142C;MAG1;-353;300
YER143W;DDI1;16;16
YER144C;UBP5;14;14
YER145C;FTR1;183;183
YER147C;SCC4;136;136
YER149C;PEA2;79;79
YER151C;UBP3;45;45
YER152C;;-320;300
YER153C;PET122;83;83
YER155C;BEM2;2616;2616
YER156C;;-185;300
YER157W;COG3;152;152
YER158C;;3;3
YER159C;BUR6;-1047;300
YER161C;SPT2;26;26
YER162C;RAD4;57;57
YER163C;;67;67
YER164W;CHD1;19;19
YER166W;DNF1;-87;300
YER168C;CCA1;159;159
YER169W;RPH1;55;55
YER170W;ADK2;135;135
YER171W;RAD3;31;31
YER172C;BRR2;8;8
YER173W;RAD24;15;15
YER174C;GRX4;-146;300
YER175C;TMT1;-187;300
YER178W;PDA1;77;77
YER182W;FMP10;71;71
YER183C;FAU1;-214;300
YER185W;;33;33
YFL001W;DEG1;78;78
YFL002C;SPB4;29;29
YFL004W;VTC2;26;26
YFL007W;BLM3;6;6
YFL008W;SMC1;25;25
YFL010C;WWM1;92;92
YFL013C;IES1;24;24
YFL016C;MDJ1;53;53
YFL017C;GNA1;25;25
YFL017W-A;SMX2;297;297
YFL021W;GAT1;21;21
YFL023W;BUD27;13;13
YFL024C;EPL1;85;85
YFL025C;BST1;69;69
YFL026W;STE2;9;9
YFL027C;GYP8;55;55
YFL028C;CAF16;219;219
YFL029C;CAK1;141;141
YFL031W;HAC1;12;12
YFL034C-A;RPL22B;-244;300
YFL034C-B;MOB2;18;18
YFL034W;;64;64
YFL041W;FET5;9;9
YFL044C;YOD1;69;69
YFL045C;SEC53;39;39
YFL046W;FMP32;63;63
YFL047W;RGD2;117;117
YFL048C;EMP47;13;13
YFL049W;;3;3
YFL050C;ALR2;3;3
YFL060C;SNO3;73;73
YFL062W;COS4;115;115
YFR001W;LOC1;-548;300
YFR002W;NIC96;35;35
YFR004W;RPN11;138;138
YFR005C;SAD1;7;7
YFR007W;;68;68
YFR008W;FAR7;36;36
YFR009W;GCN20;47;47
YFR010W;UBP6;83;83
YFR011C;;53;53
YFR013W;IOC3;87;87
YFR014C;CMK1;111;111
YFR015C;GSY1;36;36
YFR016C;;119;119
YFR017C;;-249;300
YFR018C;;642;642
YFR020W;;49;49
YFR021W;ATG18;140;140
YFR024C-A;LSB3;17;17
YFR025C;HIS2;119;119
YFR028C;CDC14;20;20
YFR030W;MET10;53;53
YFR031C;SMC2;41;41
YFR031C-A;RPL2A;257;257
YFR033C;QCR6;146;146
YFR036W;CDC26;2;2
YFR037C;RSC8;74;74
YFR039C;;6;6
YFR040W;SAP155;42;42
YFR044C;;82;82
YFR046C;CNN1;59;59
YFR047C;BNA6;239;239
YFR048W;RMD8;2;2
YFR049W;YMR31;1628;1628
YFR050C;PRE4;-91;300
YFR051C;RET2;49;49
YFR052W;RPN12;-171;300
YFR053C;HXK1;49;49
YFR055W;;30;30
YGL001C;ERG26;154;154
YGL004C;RPN14;53;53
YGL005C;COG7;-320;300
YGL008C;PMA1;45;45
YGL009C;LEU1;29;29
YGL011C;SCL1;73;73
YGL012W;ERG4;198;198
YGL014W;PUF4;22;22
YGL016W;KAP122;80;80
YGL017W;ATE1;443;443
YGL018C;JAC1;46;46
YGL019W;CKB1;17;17
YGL020C;MDM39;18;18
YGL021W;ALK1;184;184
YGL022W;STT3;19;19
YGL025C;PGD1;21;21
YGL026C;TRP5;29;29
YGL027C;CWH41;31;31
YGL028C;SCW11;-242;300
YGL029W;CGR1;36;36
YGL030W;RPL30;146;146
YGL031C;RPL24A;113;113
YGL035C;MIG1;35;35
YGL036W;;6;6
YGL037C;PNC1;-97;300
YGL038C;OCH1;6;6
YGL039W;;30;30
YGL040C;HEM2;-96;300
YGL043W;DST1;184;184
YGL044C;RNA15;71;71
YGL045W;RIM8;15;15
YGL047W;;-3088;300
YGL048C;RPT6;36;36
YGL049C;TIF4632;43;43
YGL050W;;253;253
YGL053W;PRM8;79;79
YGL054C;ERV14;40;40
YGL055W;OLE1;193;193
YGL056C;SDS23;63;63
YGL057C;;151;151
YGL058W;RAD6;114;114
YGL059W;;57;57
YGL060W;YBP2;45;45
YGL061C;DUO1;76;76
YGL062W;PYC1;-345;300
YGL064C;MRH4;121;121
YGL065C;ALG2;20;20
YGL066W;SGF73;20;20
YGL067W;NPY1;20;20
YGL068W;MNP1;59;59
YGL070C;RPB9;87;87
YGL071W;RCS1;23;23
YGL076C;RPL7A;113;113
YGL077C;HNM1;26;26
YGL078C;DBP3;33;33
YGL079W;;39;39
YGL080W;FMP37;37;37
YGL082W;;40;40
YGL083W;SCY1;36;36
YGL086W;MAD1;24;24
YGL087C;MMS2;51;51
YGL090W;LIF1;12;12
YGL092W;NUP145;28;28
YGL094C;PAN2;23;23
YGL095C;VPS45;68;68
YGL098W;USE1;34;34
YGL099W;LSG1;44;44
YGL100W;SEH1;72;72
YGL101W;;51;51
YGL107C;RMD9;55;55
YGL108C;;-102;300
YGL110C;CUE3;21;21
YGL111W;NSA1;48;48
YGL112C;TAF6;23;23
YGL113W;SLD3;16;16
YGL114W;;17;17
YGL115W;SNF4;-126;300
YGL119W;ABC1;25;25
YGL120C;PRP43;32;32
YGL122C;NAB2;44;44
YGL124C;MON1;37;37
YGL125W;MET13;54;54
YGL127C;SOH1;911;911
YGL128C;CWC23;46;46
YGL129C;RSM23;69;69
YGL130W;CEG1;3;3
YGL131C;SNT2;158;158
YGL133W;ITC1;116;116
YGL134W;PCL10;10;10
YGL135W;RPL1B;69;69
YGL137W;SEC27;53;53
YGL140C;;22;22
YGL141W;HUL5;28;28
YGL142C;GPI10;26;26
YGL143C;MRF1;123;123
YGL144C;ROG1;3;3
YGL145W;TIP20;40;40
YGL147C;RPL9A;53;53
YGL148W;ARO2;69;69
YGL150C;INO80;88;88
YGL151W;NUT1;-496;300
YGL153W;PEX14;66;66
YGL154C;LYS5;94;94
YGL155W;CDC43;7806;7806
YGL156W;AMS1;52;52
YGL157W;;56;56
YGL159W;;62;62
YGL160W;;95;95
YGL161C;YIP5;9;9
YGL162W;SUT1;21;21
YGL163C;RAD54;14;14
YGL164C;YRB30;59;59
YGL166W;CUP2;23;23
YGL167C;PMR1;57;57
YGL169W;SUA5;26;26
YGL172W;NUP49;51;51
YGL173C;KEM1;81;81
YGL175C;SAE2;16;16
YGL177W;;25;25
YGL180W;ATG1;47;47
YGL181W;GTS1;63;63
YGL184C;STR3;2;2
YGL185C;;52;52
YGL190C;CDC55;80;80
YGL194C;HOS2;125;125
YGL195W;GCN1;17;17
YGL200C;EMP24;-152;300
YGL201C;MCM6;21;21
YGL202W;ARO8;59;59
YGL203C;KEX1;51;51
YGL206C;CHC1;102;102
YGL207W;SPT16;26;26
YGL209W;MIG2;15;15
YGL211W;NCS6;-292;300
YGL212W;VAM7;61;61
YGL213C;SKI8;258;258
YGL216W;KIP3;12;12
YGL219C;MDM34;45;45
YGL220W;;45;45
YGL221C;NIF3;161;161
YGL223C;COG1;41;41
YGL225W;VRG4;29;29
YGL226W;;23;23
YGL227W;VID30;62;62
YGL228W;SHE10;230;230
YGL229C;SAP4;39;39
YGL231C;;17;17
YGL232W;TAN1;103;103
YGL233W;SEC15;43;43
YGL234W;ADE5,7;162;162
YGL238W;CSE1;141;141
YGL240W;DOC1;17;17
YGL241W;KAP114;32;32
YGL244W;RTF1;23;23
YGL245W;GUS1;53;53
YGL246C;RAI1;82;82
YGL247W;BRR6;-131;300
YGL248W;PDE1;95;95
YGL252C;RTG2;69;69
YGL254W;FZF1;84;84
YGL255W;ZRT1;33;33
YGL256W;ADH4;-1042;300
YGR001C;;51;51
YGR002C;SWC4;48;48
YGR003W;CUL3;19;19
YGR005C;TFG2;-244;300
YGR007W;MUQ1;173;173
YGR008C;STF2;75;75
YGR010W;NMA2;65;65
YGR012W;;-373;300
YGR013W;SNU71;73;73
YGR014W;MSB2;38;38
YGR016W;;9;9
YGR017W;;180;180
YGR019W;UGA1;67;67
YGR020C;VMA7;49;49
YGR021W;;-4890;300
YGR024C;THG1;-653;300
YGR026W;;63;63
YGR027C;RPS25A;82;82
YGR028W;MSP1;36;36
YGR030C;POP6;27;27
YGR031W;;-1024;300
YGR033C;FMP17;26;26
YGR034W;RPL26B;-120;300
YGR036C;CAX4;-110;300
YGR037C;ACB1;-164;300
YGR038W;ORM1;151;151
YGR040W;KSS1;83;83
YGR041W;BUD9;40;40
YGR042W;;14;14
YGR043C;;61;61
YGR046W;;35;35
YGR047C;TFC4;23;23
YGR048W;UFD1;70;70
YGR049W;SCM4;29;29
YGR052W;FMP48;35;35
YGR055W;MUP1;35;35
YGR056W;RSC1;32;32
YGR058W;;16;16
YGR060W;ERG25;-646;300
YGR061C;ADE6;33;33
YGR065C;VHT1;42;42
YGR067C;;-250;300
YGR068C;;25;25
YGR071C;;38;38
YGR072W;UPF3;33;33
YGR074W;SMD1;128;128
YGR075C;PRP38;29;29
YGR076C;MRPL25;64;64
YGR077C;PEX8;26;26
YGR078C;PAC10;38;38
YGR080W;TWF1;150;150
YGR081C;SLX9;109;109
YGR082W;TOM20;-998;300
YGR084C;MRP13;82;82
YGR085C;RPL11B;-77;300
YGR086C;PIL1;113;113
YGR088W;CTT1;33;33
YGR089W;NNF2;16;16
YGR090W;UTP22;13266;13266
YGR091W;PRP31;33;33
YGR092W;DBF2;11;11
YGR093W;;70;70
YGR094W;VAS1;68;68
YGR095C;RRP46;101;101
YGR097W;ASK10;29;29
YGR099W;TEL2;248;248
YGR100W;MDR1;106;106
YGR101W;PCP1;56;56
YGR102C;;65;65
YGR104C;SRB5;124;124
YGR105W;VMA21;84;84
YGR106C;;39;39
YGR108W;CLB1;14;14
YGR111W;;108;108
YGR112W;SHY1;29;29
YGR116W;SPT6;36;36
YGR117C;;5;5
YGR118W;RPS23A;265;265
YGR119C;NUP57;14;14
YGR120C;COG2;158;158
YGR121C;MEP1;36;36
YGR122W;;138;138
YGR123C;PPT1;125;125
YGR124W;ASN2;41;41
YGR128C;UTP8;80;80
YGR129W;SYF2;81;81
YGR130C;;44;44
YGR132C;PHB1;27;27
YGR133W;PEX4;82;82
YGR134W;CAF130;10;10
YGR135W;PRE9;47;47
YGR138C;TPO2;26;26
YGR140W;CBF2;101;101
YGR141W;VPS62;36;36
YGR142W;BTN2;13;13
YGR143W;SKN1;3;3
YGR146C;;18;18
YGR147C;NAT2;114;114
YGR148C;RPL24B;54;54
YGR149W;;38;38
YGR150C;;23;23
YGR152C;RSR1;11;11
YGR156W;PTI1;77;77
YGR157W;CHO2;43;43
YGR158C;MTR3;38;38
YGR159C;NSR1;-258;300
YGR161C;RTS3;57;57
YGR162W;TIF4631;42;42
YGR163W;GTR2;37;37
YGR165W;MRPS35;48;48
YGR167W;CLC1;23;23
YGR168C;;58;58
YGR169C;PUS6;86;86
YGR171C;MSM1;69;69
YGR173W;RBG2;150;150
YGR174C;CBP4;759;759
YGR175C;ERG1;40;40
YGR177C;ATF2;118;118
YGR178C;PBP1;-780;300
YGR179C;OKP1;30;30
YGR180C;RNR4;372;372
YGR183C;QCR9;2048;2048
YGR185C;TYS1;121;121
YGR186W;TFG1;290;290
YGR187C;HGH1;47;47
YGR188C;BUB1;22;22
YGR189C;CRH1;31;31
YGR191W;HIP1;23;23
YGR193C;PDX1;46;46
YGR194C;XKS1;50;50
YGR195W;SKI6;-308;300
YGR196C;FYV8;26;26
YGR197C;SNG1;29;29
YGR198W;;16;16
YGR200C;ELP2;73;73
YGR201C;;120;120
YGR202C;PCT1;26;26
YGR203W;;70;70
YGR204W;ADE3;86;86
YGR205W;;472;472
YGR206W;;16;16
YGR207C;;-441;300
YGR208W;SER2;59;59
YGR210C;;209;209
YGR211W;ZPR1;13;13
YGR214W;RPS0A;-324;300
YGR216C;GPI1;102;102
YGR218W;CRM1;51;51
YGR220C;MRPL9;65;65
YGR221C;TOS2;140;140
YGR222W;PET54;89;89
YGR229C;SMI1;39;39
YGR231C;PHB2;39;39
YGR232W;NAS6;-112;300
YGR233C;PHO81;41;41
YGR234W;YHB1;83;83
YGR235C;;85;85
YGR237C;;41;41
YGR238C;KEL2;39;39
YGR241C;YAP1802;365;365
YGR243W;FMP43;44;44
YGR245C;SDA1;55;55
YGR246C;BRF1;26;26
YGR247W;CPD1;21;21
YGR248W;SOL4;-72;300
YGR250C;;24;24
YGR251W;;61;61
YGR252W;GCN5;44;44
YGR253C;PUP2;-198;300
YGR255C;COQ6;184;184
YGR257C;MTM1;32;32
YGR260W;TNA1;31;31
YGR261C;APL6;54;54
YGR262C;BUD32;-142;300
YGR263C;;26;26
YGR264C;MES1;65;65
YGR266W;;30;30
YGR268C;HUA1;42;42
YGR269W;;39;39
YGR270W;YTA7;893;893
YGR271C-A;;-593;300
YGR271W;SLH1;48;48
YGR275W;RTT102;-1111;300
YGR277C;;-587;300
YGR278W;CWC22;63;63
YGR279C;SCW4;23;23
YGR280C;PXR1;110;110
YGR281W;YOR1;65;65
YGR282C;BGL2;27;27
YGR283C;;40;40
YGR284C;ERV29;46;46
YGR285C;ZUO1;107;107
YGR286C;BIO2;31;31
YGR287C;;4816;4816
YGR291C;;3;3
YGR292W;MAL12;35;35
YHL001W;RPL14B;163;163
YHL002W;HSE1;23;23
YHL003C;LAG1;48;48
YHL004W;MRP4;116;116
YHL007C;STE20;-147;300
YHL008C;;134;134
YHL009C;YAP3;26;26
YHL013C;;50;50
YHL014C;YLF2;-305;300
YHL017W;;648;648
YHL018W;;18;18
YHL019C;APM2;2;2
YHL020C;OPI1;76;76
YHL024W;RIM4;158;158
YHL025W;SNF6;29;29
YHL027W;RIM101;2;2
YHL029C;;26;26
YHL030W;ECM29;19;19
YHL032C;GUT1;78;78
YHL036W;MUP3;55;55
YHL038C;CBP2;51;51
YHL039W;;160;160
YHL041W;;-255;300
YHL048W;COS8;19;19
YHR001W;OSH7;41;41
YHR001W-A;QCR10;2;2
YHR003C;;122;122
YHR004C;NEM1;97;97
YHR005C;GPA1;71;71
YHR006W;STP2;17;17
YHR008C;SOD2;-392;300
YHR009C;;82;82
YHR010W;RPL27A;45;45
YHR011W;DIA4;61;61
YHR012W;VPS29;87;87
YHR013C;ARD1;244;244
YHR015W;MIP6;2;2
YHR016C;YSC84;8;8
YHR023W;MYO1;42;42
YHR024C;MAS2;53;53
YHR025W;THR1;73;73
YHR027C;RPN1;49;49
YHR029C;;138;138
YHR030C;SLT2;62;62
YHR031C;RRM3;8;8
YHR034C;PIH1;62;62
YHR035W;;38;38
YHR037W;PUT2;132;132
YHR038W;RRF1;38;38
YHR039C;MSC7;38;38
YHR039C-A;VMA10;-1639;300
YHR040W;BCD1;2;2
YHR042W;NCP1;61;61
YHR043C;DOG2;277;277
YHR044C;DOG1;18;18
YHR046C;INM1;57;57
YHR047C;AAP1';28;28
YHR049W;FSH1;49;49
YHR050W;SMF2;29;29
YHR051W;COX6;48;48
YHR052W;CIC1;199;199
YHR053C;CUP1-1;250;250
YHR055C;CUP1-2;189;189
YHR057C;CPR2;7;7
YHR058C;MED6;26;26
YHR059W;FYV4;11;11
YHR060W;VMA22;52;52
YHR061C;GIC1;2;2
YHR062C;RPP1;46;46
YHR063C;PAN5;205;205
YHR066W;SSF1;30;30
YHR067W;HTD2;-187;300
YHR068W;DYS1;218;218
YHR069C;RRP4;74;74
YHR070W;TRM5;76;76
YHR072W;ERG7;18;18
YHR073W;OSH3;39;39
YHR074W;QNS1;94;94
YHR077C;NMD2;2;2
YHR079C;IRE1;32;32
YHR082C;KSP1;35;35
YHR084W;STE12;34;34
YHR085W;IPI1;-320;300
YHR086W;NAM8;62;62
YHR087W;;45;45
YHR088W;RPF1;57;57
YHR089C;GAR1;30;30
YHR090C;YNG2;32;32
YHR094C;HXT1;-221;300
YHR097C;;21;21
YHR098C;SFB3;15;15
YHR101C;BIG1;73;73
YHR103W;SBE22;7;7
YHR104W;GRE3;152;152
YHR106W;TRR2;38;38
YHR107C;CDC12;121;121
YHR108W;GGA2;58;58
YHR109W;CTM1;19;19
YHR110W;ERP5;48;48
YHR111W;UBA4;57;57
YHR112C;;-73;300
YHR114W;BZZ1;1187;1187
YHR115C;DMA1;24;24
YHR116W;COX23;3;3
YHR117W;TOM71;98;98
YHR119W;SET1;1814;1814
YHR120W;MSH1;78;78
YHR121W;LSM12;38;38
YHR122W;;357;357
YHR127W;;-914;300
YHR129C;ARP1;-290;300
YHR131C;;39;39
YHR132C;ECM14;11;11
YHR132W-A;;734;734
YHR135C;YCK1;14;14
YHR136C;SPL2;39;39
YHR137W;ARO9;56;56
YHR138C;;87;87
YHR141C;RPL42B;2222;2222
YHR143W;DSE2;1323;1323
YHR143W-A;RPC10;-679;300
YHR144C;DCD1;41;41
YHR147C;MRPL6;73;73
YHR149C;SKG6;9;9
YHR152W;SPO12;14;14
YHR154W;RTT107;41;41
YHR155W;;35;35
YHR156C;LIN1;7;7
YHR158C;KEL1;-747;300
YHR159W;;29;29
YHR161C;YAP1801;33;33
YHR162W;;42;42
YHR163W;SOL3;396;396
YHR166C;CDC23;16;16
YHR167W;THP2;30;30
YHR168W;MTG2;73;73
YHR169W;DBP8;-186;300
YHR170W;NMD3;80;80
YHR172W;SPC97;81;81
YHR173C;;4;4
YHR174W;ENO2;27;27
YHR175W;CTR2;-261;300
YHR178W;STB5;37;37
YHR179W;OYE2;107;107
YHR181W;SVP26;30;30
YHR182W;;93;93
YHR186C;KOG1;112;112
YHR187W;IKI1;66;66
YHR188C;GPI16;42;42
YHR189W;PTH1;82;82
YHR192W;;1175;1175
YHR193C;EGD2;263;263
YHR194W;MDM31;10;10
YHR195W;NVJ1;5;5
YHR196W;UTP9;36;36
YHR197W;RIX1;80;80
YHR198C;FMP22;625;625
YHR199C;FMP34;88;88
YHR200W;RPN10;46;46
YHR201C;PPX1;139;139
YHR204W;MNL1;27;27
YHR205W;SCH9;32;32
YHR206W;SKN7;23;23
YHR207C;SET5;793;793
YHR208W;BAT1;897;897
YHR209W;;40;40
YHR215W;PHO12;6;6
YHR216W;IMD2;54;54
YIL001W;;24;24
YIL002C;INP51;23;23
YIL005W;EPS1;21;21
YIL007C;NAS2;674;674
YIL008W;URM1;86;86
YIL009W;FAA3;58;58
YIL010W;DOT5;48;48
YIL014W;MNT3;10;10
YIL015W;BAR1;7;7
YIL016W;SNL1;4664;4664
YIL017C;VID28;7;7
YIL020C;HIS6;-344;300
YIL021W;RPB3;29;29
YIL026C;IRR1;42;42
YIL027C;KRE27;35;35
YIL030C;SSM4;6;6
YIL031W;ULP2;14;14
YIL033C;BCY1;65;65
YIL034C;CAP2;68;68
YIL035C;CKA1;62;62
YIL038C;NOT3;64;64
YIL039W;;70;70
YIL040W;APQ12;339;339
YIL041W;GVP36;87;87
YIL042C;;121;121
YIL044C;AGE2;51;51
YIL045W;PIG2;2;2
YIL046W;MET30;3;3
YIL047C;SYG1;22;22
YIL048W;NEO1;-87;300
YIL050W;PCL7;19;19
YIL051C;MMF1;809;809
YIL052C;RPL34B;69;69
YIL053W;RHR2;113;113
YIL054W;;6;6
YIL055C;;16;16
YIL056W;;26;26
YIL057C;;16;16
YIL061C;SNP1;49;49
YIL062C;ARC15;32;32
YIL063C;YRB2;22;22
YIL064W;;90;90
YIL066C;RNR3;64;64
YIL068C;SEC6;28;28
YIL069C;RPS24B;-392;300
YIL070C;MAM33;-1024;300
YIL071C;PCI8;33;33
YIL074C;SER33;350;350
YIL075C;RPN2;400;400
YIL076W;SEC28;20;20
YIL077C;;62;62
YIL079C;AIR1;29;29
YIL083C;;75;75
YIL084C;SDS3;27;27
YIL085C;KTR7;55;55
YIL089W;;3;3
YIL090W;;34;34
YIL092W;;3;3
YIL093C;RSM25;-116;300
YIL094C;LYS12;18;18
YIL095W;PRK1;31;31
YIL096C;;25;25
YIL097W;FYV10;59;59
YIL098C;FMC1;84;84
YIL101C;XBP1;19;19
YIL103W;KIF48;38;38
YIL104C;SHQ1;37;37
YIL105C;SLM1;21;21
YIL106W;MOB1;87;87
YIL107C;PFK26;25;25
YIL108W;;19;19
YIL112W;HOS4;15;15
YIL115C;NUP159;82;82
YIL118W;RHO3;171;171
YIL119C;RPI1;26;26
YIL121W;QDR2;52;52
YIL122W;POG1;26;26
YIL123W;SIM1;23;23
YIL124W;AYR1;76;76
YIL125W;KGD1;85;85
YIL126W;STH1;-166;300
YIL127C;;60;60
YIL128W;MET18;24;24
YIL129C;TAO3;299;299
YIL130W;;3;3
YIL131C;FKH1;31;31
YIL133C;RPL16A;1308;1308
YIL135C;VHS2;20;20
YIL136W;OM45;115;115
YIL137C;;36;36
YIL138C;TPM2;24;24
YIL140W;AXL2;114;114
YIL143C;SSL2;2;2
YIL144W;TID3;39;39
YIL145C;PAN6;-104;300
YIL147C;SLN1;34;34
YIL148W;RPL40A;187;187
YIL149C;MLP2;20;20
YIL151C;;13;13
YIL153W;RRD1;131;131
YIL154C;IMP2';-91;300
YIL155C;GUT2;51;51
YIL156W;UBP7;48;48
YIL157C;FMP35;120;120
YIL159W;BNR1;20;20
YIL160C;POT1;30;30
YIL161W;;62;62
YIL172C;;35;35
YIR001C;SGN1;609;609
YIR003W;;32;32
YIR004W;DJP1;167;167
YIR006C;PAN1;3;3
YIR007W;;270;270
YIR008C;PRI1;60;60
YIR009W;MSL1;3;3
YIR010W;DSN1;22;22
YIR011C;STS1;3;3
YIR015W;RPR2;17;17
YIR021W;MRS1;48;48
YIR022W;SEC11;22;22
YIR024C;;413;413
YIR026C;YVH1;40;40
YIR033W;MGA2;31;31
YIR034C;LYS1;-214;300
YIR035C;;-101;300
YIR036C;;54;54
YIR037W;HYR1;44;44
YIR038C;GTT1;66;66
YJL001W;PRE3;36;36
YJL002C;OST1;85;85
YJL003W;COX16;2;2
YJL004C;SYS1;57;57
YJL005W;CYR1;75;75
YJL006C;CTK2;28;28
YJL011C;RPC17;319;319
YJL013C;MAD3;30;30
YJL016W;;31;31
YJL023C;PET130;67;67
YJL024C;APS3;2108;2108
YJL025W;RRN7;15;15
YJL030W;MAD2;24;24
YJL033W;HCA4;38;38
YJL034W;KAR2;124;124
YJL035C;TAD2;14;14
YJL036W;SNX4;201;201
YJL039C;NUP192;194;194
YJL041W;NSP1;13;13
YJL042W;MHP1;125;125
YJL044C;GYP6;43;43
YJL047C;RTT101;7;7
YJL048C;UBX6;38;38
YJL049W;;66;66
YJL050W;MTR4;47;47
YJL052W;TDH1;85;85
YJL055W;;32;32
YJL056C;ZAP1;163;163
YJL057C;;21;21
YJL058C;BIT61;28;28
YJL060W;BNA3;32;32
YJL061W;NUP82;81;81
YJL062W;LAS21;29;29
YJL062W-A;;120;120
YJL063C;MRPL8;105;105
YJL065C;DLS1;29;29
YJL068C;;243;243
YJL069C;UTP18;60;60
YJL070C;;63;63
YJL071W;ARG2;8;8
YJL072C;PSF2;-115;300
YJL073W;JEM1;21;21
YJL074C;SMC3;217;217
YJL076W;NET1;43;43
YJL080C;SCP160;183;183
YJL081C;ARP4;86;86
YJL082W;IML2;103;103
YJL083W;TAX4;23;23
YJL084C;;3;3
YJL085W;EXO70;12;12
YJL087C;TRL1;21;21
YJL088W;ARG3;49;49
YJL089W;SIP4;20;20
YJL090C;DPB11;19;19
YJL092W;HPR5;42;42
YJL094C;KHA1;19;19
YJL096W;MRPL49;-67;300
YJL097W;;-147;300
YJL098W;SAP185;60;60
YJL099W;CHS6;18;18
YJL100W;LSB6;-1051;300
YJL101C;GSH1;2;2
YJL102W;MEF2;40;40
YJL104W;PAM16;2275;2275
YJL107C;;100;100
YJL109C;UTP10;12;12
YJL110C;GZF3;23;23
YJL112W;MDV1;25;25
YJL115W;ASF1;123;123
YJL118W;;30;30
YJL121C;RPE1;1797;1797
YJL122W;;56;56
YJL123C;;57;57
YJL124C;LSM1;76;76
YJL125C;GCD14;905;905
YJL127C;SPT10;22;22
YJL128C;PBS2;36;36
YJL130C;URA2;22;22
YJL131C;;50;50
YJL133W;MRS3;37;37
YJL134W;LCB3;12;12
YJL136C;RPS21B;136;136
YJL137C;GLG2;6;6
YJL139C;YUR1;15;15
YJL143W;TIM17;91;91
YJL144W;;15;15
YJL145W;SFH5;331;331
YJL147C;;52;52
YJL148W;RPA34;-525;300
YJL149W;;3;3
YJL151C;SNA3;73;73
YJL153C;INO1;38;38
YJL154C;VPS35;320;320
YJL155C;FBP26;41;41
YJL157C;FAR1;10;10
YJL158C;CIS3;11;11
YJL159W;HSP150;8;8
YJL161W;FMP33;93;93
YJL162C;JJJ2;20;20
YJL164C;TPK1;-171;300
YJL165C;HAL5;-196;300
YJL166W;QCR8;7;7
YJL167W;ERG20;13;13
YJL168C;SET2;2;2
YJL171C;;22;22
YJL172W;CPS1;9;9
YJL173C;RFA3;3196;3196
YJL176C;SWI3;72;72
YJL177W;RPL17B;21;21
YJL178C;ATG27;44;44
YJL180C;ATP12;178;178
YJL183W;MNN11;8;8
YJL184W;GON7;-84;300
YJL186W;MNN5;13;13
YJL187C;SWE1;88;88
YJL190C;RPS22A;78;78
YJL191W;RPS14B;-327;300
YJL192C;SOP4;348;348
YJL196C;ELO1;17;17
YJL197W;UBP12;-4068;300
YJL198W;PHO90;-244;300
YJL200C;;34;34
YJL201W;ECM25;78;78
YJL203W;PRP21;-172;300
YJL207C;;25;25
YJL208C;NUC1;40;40
YJL209W;CBP1;43;43
YJL212C;OPT1;2;2
YJL213W;;26;26
