#name: S.cerevisiae - Whole organism, SC (PeptideAtlas,March,2013)
#score: 22.02
#weight: 90%
#description: abundance based on Spectral counting, from<a href="http://www.peptideatlas.org/builds/" target="_blank">PeptideAtlas,March,2013</a><br/><b>Interaction consistency score</b>: 22.02&nbsp<b>Coverage</b>: 72
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 72
#publication_year: 2013
#filename: 4932-PA_201303.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
634220	4932.YNL309W	2.22	10
630633	4932.YER099C	17.1	94
629719	4932.YDL150W	30.5	102
634699	4932.YOR171C	9.42	64
635351	4932.YPR111W	8.6	57
631645	4932.YHR084W	42.9	310
633935	4932.YNL038W	0.791	2
632452	4932.YKL003C	11.9	17
628857	4932.YAL053W	4.84	50
634056	4932.YNL149C	60.8	88
629285	4932.YBR218C	205	3872
630985	4932.YGL095C	5.9	45
634341	4932.YOL007C	0.744	2
631541	4932.YHR001W-A	43.1	41
629835	4932.YDR011W	24.8	383
629250	4932.YBR188C	1.18	1
634747	4932.YOR215C	97.4	118
632403	4932.YJR119C	0.191	2
631292	4932.YGR123C	51.1	232
629789	4932.YDL216C	0.094	1
631894	4932.YIL079C	3.76	16
633088	4932.YLR199C	30.9	136
632260	4932.YJL206C	0.123	1
631071	4932.YGL180W	2.52	24
631962	4932.YIL142W	194	1336
630847	4932.YFR025C	5.61	27
632001	4932.YIR006C	58.6	612
634534	4932.YOR017W	2.11	14
629599	4932.YDL035C	0.106	1
629196	4932.YBR137W	40.3	110
630337	4932.YDR473C	0.878	4
635145	4932.YPL198W	2021	8724
632657	4932.YKL192C	117	158
630415	4932.YEL001C	271	121
633299	4932.YLR393W	2.09	7
630158	4932.YDR310C	24.7	327
635090	4932.YPL146C	15.2	39
632528	4932.YKL072W	0.134	1
631248	4932.YGR083C	28.8	147
634042	4932.YNL138W	356	1960
634061	4932.YNL154C	83.5	543
635337	4932.YPR098C	0.514	1
633897	4932.YNL001W	12.8	61
632117	4932.YJL071W	1.81	14
634263	4932.YNR009W	2.31	6
632128	4932.YJL080C	352	4930
631856	4932.YIL046W	37.1	291
629518	4932.YCR067C	8.56	78
631033	4932.YGL142C	0.405	4
632351	4932.YJR068W	44.0	205
634003	4932.YNL101W	0.56	5
631356	4932.YGR179C	5.74	33
632368	4932.YJR086W	22.7	38
629911	4932.YDR081C	15.5	166
632189	4932.YJL137C	4.72	18
629555	4932.YCR102C	0.541	15
634084	4932.YNL176C	0.158	1
631992	4932.YIL173W	0.453	36
633848	4932.YMR286W	19.7	13
629198	4932.YBR139W	16.1	91
632611	4932.YKL149C	0.262	2
632010	4932.YIR015W	0.545	1
630310	4932.YDR448W	15.6	96
629251	4932.YBR189W	2532	4976
631095	4932.YGL202W	648	3591
632329	4932.YJR046W	2.95	25
631760	4932.YHR188C	22.2	135
633765	4932.YMR208W	71.1	377
633216	4932.YLR315W	1.64	5
630657	4932.YER122C	55.1	288
633189	4932.YLR291C	30.3	143
630772	4932.YFL023W	12.7	76
634712	4932.YOR184W	472	2288
635135	4932.YPL189C-A	8.99	1
630615	4932.YER087C-B	30.2	36
634019	4932.YNL116W	3.77	16
629922	4932.YDR092W	40.4	74
634044	4932.YNL139C	10.6	189
631258	4932.YGR093W	5.95	41
633942	4932.YNL044W	139	181
635386	4932.YPR143W	41.3	72
633375	4932.YLR462W	0.79	23
629232	4932.YBR171W	20.1	50
633901	4932.YNL005C	21.4	63
630720	4932.YER173W	0.103	1
633712	4932.YMR162C	0.078	2
632210	4932.YJL157C	3.53	39
633116	4932.YLR226W	1.12	5
633720	4932.YMR170C	36.6	461
632645	4932.YKL181W	145	775
629802	4932.YDL229W	3031	35095
629146	4932.YBR093C	38.7	333
634369	4932.YOL032W	9.36	18
633455	4932.YML063W	2892	11175
630162	4932.YDR314C	0.547	3
629388	4932.YCL011C	41.2	196
631571	4932.YHR027C	144	1929
635382	4932.YPR139C	12.7	51
631149	4932.YGL255W	1.48	7
630826	4932.YFR007W	1.47	10
629133	4932.YBR083W	3.85	15
632780	4932.YKR090W	2.42	19
633234	4932.YLR333C	3128	1930
633923	4932.YNL026W	11.4	76
630222	4932.YDR365W-B	15.0	10061
631514	4932.YHL030W	13.1	318
635441	4932.YPR187W	98.4	168
629316	4932.YBR245C	54.6	696
629265	4932.YBR200W	4.91	31
634913	4932.YOR372C	2.18	12
628895	4932.YAR028W	9.94	12
629310	4932.YBR239C	0.198	2
633504	4932.YML107C	0.719	2
631897	4932.YIL083C	30.4	147
630967	4932.YGL077C	1.2	7
630436	4932.YEL018W	8.51	30
632867	4932.YLL067C	0.312	75
631450	4932.YGR270W	9.08	141
632344	4932.YJR061W	0.065	1
634408	4932.YOL069W	18.3	110
632649	4932.YKL184W	1.65	12
630274	4932.YDR412W	4.04	7
631051	4932.YGL160W	0.493	3
633262	4932.YLR359W	245	1352
634613	4932.YOR091W	43.5	96
631184	4932.YGR026W	6.79	19
633523	4932.YML125C	117	362
631101	4932.YGL208W	46.6	199
634193	4932.YNL284C	15.6	37
630868	4932.YFR041C	11.1	28
634434	4932.YOL092W	17.6	31
632558	4932.YKL100C	25.4	153
634896	4932.YOR355W	9.34	39
634546	4932.YOR028C	3.35	14
635053	4932.YPL111W	350	918
635048	4932.YPL106C	1812	14342
634488	4932.YOL143C	518	1014
628835	4932.YAL034W-A	26.1	77
632791	4932.YKR100C	3.56	19
634141	4932.YNL233W	3.12	33
631754	4932.YHR182W	0.179	2
631507	4932.YHL023C	0.285	4
630013	4932.YDR178W	23.0	32
631042	4932.YGL151W	16.9	200
629262	4932.YBR197C	2.53	6
629527	4932.YCR076C	2.24	8
631714	4932.YHR147C	2.11	5
634866	4932.YOR329C	2.47	21
632373	4932.YJR091C	6.29	62
631585	4932.YHR038W	8.67	13
631192	4932.YGR031W	4.72	14
632646	4932.YKL182W	1148	26793
631293	4932.YGR124W	823	6165
633305	4932.YLR399C	25.0	113
634139	4932.YNL231C	64.7	237
634555	4932.YOR035C	5.26	67
628935	4932.YBL017C	36.9	721
634152	4932.YNL244C	1107	1498
634281	4932.YNR027W	1.37	7
628821	4932.YAL024C	0.417	7
634889	4932.YOR348C	0.365	1
632428	4932.YJR142W	3.79	17
632251	4932.YJL197W	5.96	76
633770	4932.YMR213W	0.521	3
629304	4932.YBR233W-A	33.8	42
630944	4932.YGL055W	203	991
635435	4932.YPR181C	203	2303
629385	4932.YCL008C	0.525	2
630420	4932.YEL006W	0.647	2
635060	4932.YPL118W	7.72	22
633388	4932.YML005W	1.75	12
634936	4932.YOR393W	10.5	257
630397	4932.YDR529C	329	579
631208	4932.YGR044C	0.973	4
629623	4932.YDL059C	23.5	69
631241	4932.YGR076C	13.1	8
630428	4932.YEL012W	19.4	24
629567	4932.YDL006W	1.96	12
630658	4932.YER123W	4.53	21
632057	4932.YJL012C	215	1369
635282	4932.YPR043W	1645	2447
630243	4932.YDR382W	3728	5987
630346	4932.YDR483W	162	964
629032	4932.YBL103C	20.0	137
634751	4932.YOR219C	1.63	21
630368	4932.YDR505C	6.23	71
632669	4932.YKL206C	15.0	42
630580	4932.YER061C	7.57	43
633006	4932.YLR135W	0.758	5
631896	4932.YIL082W-A	5.87	321
632890	4932.YLR022C	81.3	174
631232	4932.YGR068C	1.97	11
634124	4932.YNL216W	46.8	489
629810	4932.YDL237W	28.5	174
635194	4932.YPL246C	27.5	36
634778	4932.YOR246C	9.71	38
635174	4932.YPL226W	184	2398
632120	4932.YJL074C	14.7	170
633281	4932.YLR375W	6.08	23
630927	4932.YGL039W	32.8	180
630732	4932.YER183C	1.88	5
633405	4932.YML018C	0.395	2
629607	4932.YDL044C	2.94	14
631652	4932.YHR090C	12.9	43
629630	4932.YDL066W	574	2840
630646	4932.YER112W	53.4	59
633889	4932.YMR319C	13.9	72
629137	4932.YBR085W	103	876
631671	4932.YHR109W	0.515	3
630572	4932.YER055C	467	1811
632469	4932.YKL018W	11.3	52
632067	4932.YJL024C	53.3	86
630457	4932.YEL034W	2799	7277
631479	4932.YHL001W	3551	5263
634306	4932.YNR050C	404	2084
629683	4932.YDL116W	12.3	110
632887	4932.YLR019W	9.71	43
631659	4932.YHR097C	27.9	93
632127	4932.YJL079C	60.7	20
629392	4932.YCL017C	33.3	201
631357	4932.YGR180C	574	2418
634792	4932.YOR260W	46.8	383
635212	4932.YPL260W	70.8	457
631162	4932.YGR004W	1.39	9
633507	4932.YML110C	56.5	184
634345	4932.YOL011W	1.26	12
631875	4932.YIL063C	81.8	249
629709	4932.YDL140C	69.1	1332
628914	4932.YAR075W	69.6	467
632933	4932.YLR064W	8.41	26
630937	4932.YGL048C	112	445
631499	4932.YHL016C	0.367	2
628782	4932.Q0110	0.45	11
631137	4932.YGL243W	0.855	4
632837	4932.YLL039C	484	5331
629508	4932.YCR053W	871	5632
632853	4932.YLL055W	0.35	3
630594	4932.YER072W	16.7	48
632566	4932.YKL106W	8.65	54
629963	4932.YDR129C	304	1991
629294	4932.YBR225W	0.663	8
634535	4932.YOR018W	4.13	38
634241	4932.YNL330C	21.7	160
631604	4932.YHR053C	68.1	95
630562	4932.YER047C	1.29	13
634250	4932.YNL339C	0.355	113
635267	4932.YPR029C	8.12	95
629646	4932.YDL082W	2122	4392
631583	4932.YHR036W	0.445	3
629517	4932.YCR066W	1.92	12
632078	4932.YJL034W	637	5815
633331	4932.YLR420W	120	532
629539	4932.YCR088W	315	1746
634784	4932.YOR252W	54.9	59
630047	4932.YDR208W	0.522	6
629144	4932.YBR091C	12.3	14
629904	4932.YDR075W	0.942	3
633013	4932.YLR142W	0.91	4
631649	4932.YHR087W	322	379
630799	4932.YFL048C	55.3	299
632987	4932.YLR117C	0.955	8
631398	4932.YGR220C	0.277	1
629060	4932.YBR014C	9.88	27
633441	4932.YML052W	137	245
629722	4932.YDL153C	34.0	210
632288	4932.YJR006W	1.0	8
634704	4932.YOR176W	145	547
635374	4932.YPR133W-A	221	219
634632	4932.YOR109W	26.2	383
632515	4932.YKL061W	6.25	8
631455	4932.YGR275W	119	187
633611	4932.YMR071C	64.0	71
632035	4932.YIR033W	1.78	19
631179	4932.YGR021W	1.52	4
630083	4932.YDR240C	0.852	4
630904	4932.YGL016W	8.82	130
634448	4932.YOL103W-B	14.1	9217
634447	4932.YOL103W-A	50.3	7358
634666	4932.YOR142W-A	43.5	7434
629524	4932.YCR073W-A	39.9	167
633664	4932.YMR120C	266	2797
631243	4932.YGR078C	146	223
634668	4932.YOR143C	5.88	30
630540	4932.YER029C	13.2	16
629952	4932.YDR119W	17.5	125
633321	4932.YLR411W	0.888	4
632602	4932.YKL141W	7.8	25
630511	4932.YER005W	0.756	6
630639	4932.YER105C	18.0	282
632764	4932.YKR075C	0.619	3
634290	4932.YNR034W-A	289	469
629592	4932.YDL028C	0.534	6
634726	4932.YOR194C	27.4	44
630566	4932.YER050C	12.4	7
629455	4932.YCR008W	1.57	11
629033	4932.YBL104C	3.41	46
634723	4932.YOR192C-B	1.61	898
632070	4932.YJL026W	364	1915
635105	4932.YPL160W	440	5876
634123	4932.YNL215W	34.4	92
628934	4932.YBL016W	94.2	335
633590	4932.YMR051C	44.5	7543
630010	4932.YDR175C	15.1	48
632951	4932.YLR082C	6.62	39
630742	4932.YER190W	0.293	92
633786	4932.YMR229C	145	2559
635272	4932.YPR034W	40.6	242
633709	4932.YMR159C	3.25	7
634718	4932.YOR189W	29.1	38
634631	4932.YOR108W	131	1470
629689	4932.YDL122W	34.9	370
633824	4932.YMR264W	35.0	81
635361	4932.YPR121W	0.029	1
631027	4932.YGL136C	0.868	2
629119	4932.YBR070C	4.4	17
631030	4932.YGL139W	2.77	28
632934	4932.YLR065C	22.8	41
632037	4932.YIR035C	22.2	89
631447	4932.YGR268C	1.09	2
631165	4932.YGR007W	14.8	68
634226	4932.YNL315C	18.7	50
630527	4932.YER018C	9.38	39
634833	4932.YOR299W	2.39	20
635428	4932.YPR174C	6.53	12
632328	4932.YJR045C	1147	9688
631761	4932.YHR189W	0.965	2
634262	4932.YNR008W	3.81	41
634469	4932.YOL124C	2.69	18
631943	4932.YIL125W	138	1475
633538	4932.YMR004W	9.79	64
631348	4932.YGR172C	67.4	101
633542	4932.YMR008C	21.8	200
632187	4932.YJL136C	2381	3086
632610	4932.YKL148C	66.4	600
629973	4932.YDR140W	2.2	7
632572	4932.YKL112W	29.5	219
629743	4932.YDL171C	168	4303
629837	4932.YDR013W	0.382	1
632516	4932.YKL062W	14.5	91
635198	4932.YPL249C-A	2765	2446
629605	4932.YDL042C	8.85	83
629910	4932.YDR080W	1.12	14
632293	4932.YJR010W	164	918
631892	4932.YIL077C	9.05	23
635342	4932.YPR103W	30.4	155
635199	4932.YPL250C	0.601	1
634299	4932.YNR043W	219	991
630177	4932.YDR324C	21.9	210
632272	4932.YJL218W	1.32	3
633975	4932.YNL075W	25.3	60
632480	4932.YKL028W	8.7	47
633295	4932.YLR389C	22.6	328
634069	4932.YNL162W	875	324
629923	4932.YDR093W	4.0	70
633844	4932.YMR282C	1.34	9
631715	4932.YHR148W	15.8	17
631594	4932.YHR046C	16.8	45
632009	4932.YIR014W	0.244	1
635011	4932.YPL070W	2.21	19
633264	4932.YLR361C	0.341	2
630216	4932.YDR362C	11.1	79
631050	4932.YGL159W	1.9	8
635051	4932.YPL109C	0.312	3
632208	4932.YJL156C	0.853	7
630775	4932.YFL026W	3.68	19
632538	4932.YKL082C	12.3	36
632644	4932.YKL180W	2083	5230
633178	4932.YLR283W	0.977	3
633604	4932.YMR064W	0.151	1
632630	4932.YKL166C	48.4	286
632289	4932.YJR007W	453	1814
631389	4932.YGR211W	197	994
632600	4932.YKL139W	3.27	16
629659	4932.YDL093W	0.121	1
632115	4932.YJL069C	29.2	147
629791	4932.YDL218W	7.43	25
634093	4932.YNL185C	45.9	66
633196	4932.YLR298C	0.966	2
628920	4932.YBL005W-A	18.7	847
631595	4932.YHR047C	61.8	799
634765	4932.YOR232W	160	302
630110	4932.YDR262W	2.94	11
631748	4932.YHR179W	817	3620
628828	4932.YAL030W	25.8	32
631813	4932.YIL009C-A	0.174	1
630886	4932.YGL001C	160	427
634103	4932.YNL195C	4.56	9
630328	4932.YDR464W	4.97	59
628921	4932.YBL005W-B	6.48	2509
633854	4932.YMR291W	11.5	78
635038	4932.YPL096W	2.58	7
633181	4932.YLR285W	20.8	45
635400	4932.YPR156C	7.99	58
630213	4932.YDR359C	10.8	121
632584	4932.YKL124W	2.3	16
633162	4932.YLR267W	0.479	5
633803	4932.YMR244C-A	15.4	8
629792	4932.YDL219W	13.5	33
634978	4932.YPL038W	15.9	29
629536	4932.YCR086W	25.3	56
635151	4932.YPL204W	19.8	115
631086	4932.YGL194C	1.27	8
634966	4932.YPL026C	1.69	7
633157	4932.YLR263W	0.274	3
634639	4932.YOR116C	46.0	745
632712	4932.YKR024C	7.93	62
631117	4932.YGL224C	25.9	78
632619	4932.YKL156W	1424	2595
630113	4932.YDR265W	3.14	15
635004	4932.YPL063W	128	796
634619	4932.YOR097C	0.684	2
630867	4932.YFR040W	3.9	53
634599	4932.YOR076C	1.65	15
630484	4932.YEL059C-A	8.44	10
634487	4932.YOL142W	27.6	102
630135	4932.YDR287W	2.72	8
634176	4932.YNL268W	2.65	13
630266	4932.YDR405W	27.7	35
633202	4932.YLR303W	634	3433
631093	4932.YGL200C	215	762
633474	4932.YML081W	2.09	25
631252	4932.YGR087C	790	14256
635209	4932.YPL257W-B	15.6	10156
632969	4932.YLR099W-A	34.1	14
630931	4932.YGL041W-A	25.1	29
629407	4932.YCL031C	19.9	41
628844	4932.YAL041W	3.45	35
632713	4932.YKR025W	33.4	102
633372	4932.YLR459W	0.28	2
634151	4932.YNL243W	61.9	605
629333	4932.YBR261C	38.9	97
635019	4932.YPL078C	238	395
632429	4932.YJR143C	46.8	434
631384	4932.YGR206W	2.22	2
631146	4932.YGL252C	34.2	229
634247	4932.YNL336W	0.141	3
631317	4932.YGR147C	4.49	9
635459	4932.YPR204W	0.34	73
632374	4932.YJR092W	1.34	21
634846	4932.YOR311C	9.65	37
633577	4932.YMR039C	45.8	142
628822	4932.YAL025C	44.1	132
629774	4932.YDL201W	56.3	157
628932	4932.YBL014C	0.734	13
630153	4932.YDR305C	23.4	51
630984	4932.YGL094C	1.37	19
633936	4932.YNL039W	5.34	34
629231	4932.YBR170C	22.8	129
629868	4932.YDR039C	5.2	218
631190	4932.YGR030C	4.16	9
631319	4932.YGR149W	3.54	17
632342	4932.YJR059W	14.1	156
632230	4932.YJL177W	1927	4936
633513	4932.YML116W	0.161	1
631299	4932.YGR130C	86.0	507
631997	4932.YIR002C	0.865	10
630320	4932.YDR458C	9.06	63
632402	4932.YJR118C	30.6	60
634533	4932.YOR016C	24.1	47
632405	4932.YJR121W	882	6528
631340	4932.YGR165W	10.3	30
632841	4932.YLL043W	1.68	8
634885	4932.YOR344C	7.25	13
629325	4932.YBR254C	3.42	8
634621	4932.YOR099W	105	502
630161	4932.YDR313C	0.229	1
631858	4932.YIL047C	6.93	164
633137	4932.YLR245C	15.8	34
632658	4932.YKL193C	71.7	320
634060	4932.YNL153C	100	164
634231	4932.YNL320W	4.33	17
633432	4932.YML045W	10.2	8690
633210	4932.YLR310C	2.46	49
632973	4932.YLR103C	0.433	4
632367	4932.YJR085C	202	309
630698	4932.YER155C	12.5	360
629320	4932.YBR249C	956	3904
629411	4932.YCL035C	401	702
633298	4932.YLR392C	1.33	6
629808	4932.YDL235C	40.8	85
635091	4932.YPL147W	0.276	2
633792	4932.YMR234W	4.49	14
634415	4932.YOL077C	66.7	245
634076	4932.YNL168C	83.3	262
634428	4932.YOL086W-A	5.48	6
630360	4932.YDR497C	15.1	53
632672	4932.YKL209C	0.28	4
631358	4932.YGR181W	152	171
635429	4932.YPR175W	4.72	34
630755	4932.YFL011W	0.055	8
629135	4932.YBR084W	122	1150
630748	4932.YFL004W	62.2	624
629699	4932.YDL131W	267	2466
629625	4932.YDL061C	3049	1856
628826	4932.YAL028W	0.526	2
635418	4932.YPR167C	9.53	31
630258	4932.YDR397C	57.7	107
634307	4932.YNR051C	35.1	181
629364	4932.YBR292C	0.441	1
632088	4932.YJL045W	36.1	362
631481	4932.YHL002W	9.97	56
631684	4932.YHR122W	3.5	9
633835	4932.YMR273C	0.584	4
630251	4932.YDR390C	7.92	76
634616	4932.YOR094W	40.5	65
634329	4932.YNR073C	0.041	1
630106	4932.YDR261C-C	55.1	8311
630191	4932.YDR338C	1.54	7
630444	4932.YEL024W	76.6	188
631500	4932.YHL017W	1.62	9
632854	4932.YLL056C	1.19	5
632292	4932.YJR010C-A	42.2	71
631899	4932.YIL085C	1.25	11
632956	4932.YLR087C	0.03	1
635066	4932.YPL123C	4.02	29
631163	4932.YGR005C	10.2	48
628951	4932.YBL032W	87.0	237
633508	4932.YML111W	3.21	27
631829	4932.YIL021W	88.1	347
630880	4932.YFR052W	150	553
631536	4932.YHL048W	0.965	7
631134	4932.YGL240W	3.81	7
629507	4932.YCR052W	44.1	279
634117	4932.YNL209W	2671	32855
634847	4932.YOR312C	1713	3923
633233	4932.YLR332W	11.0	40
632522	4932.YKL067W	602	960
629344	4932.YBR272C	2.31	14
633228	4932.YLR327C	45.6	54
630159	4932.YDR311W	13.5	108
632806	4932.YLL008W	39.8	320
631873	4932.YIL061C	4.64	12
628927	4932.YBL009W	0.48	3
629298	4932.YBR229C	12.6	125
635231	4932.YPL281C	10.5	257
634302	4932.YNR046W	76.8	189
631296	4932.YGR127W	6.53	26
630825	4932.YFR006W	56.6	349
629359	4932.YBR287W	19.7	66
633495	4932.YML100W	113	1287
630958	4932.YGL068W	231	222
634496	4932.YOL151W	97.7	416
632832	4932.YLL034C	14.9	152
631693	4932.YHR131C	0.059	2
630287	4932.YDR425W	0.99	8
631570	4932.YHR026W	1.85	7
633898	4932.YNL002C	164	293
634807	4932.YOR275C	3.29	23
634544	4932.YOR026W	23.0	118
634899	4932.YOR358W	2.57	7
629408	4932.YCL032W	2.53	6
634146	4932.YNL238W	4.41	29
634612	4932.YOR090C	11.8	78
629353	4932.YBR281C	21.7	192
632252	4932.YJL198W	2.02	13
635154	4932.YPL207W	30.0	230
631544	4932.YHR004C	1.79	6
630036	4932.YDR197W	0.225	1
633328	4932.YLR417W	0.187	1
629301	4932.YBR231C	7.89	24
630966	4932.YGL076C	2083	8938
634480	4932.YOL135C	6.54	22
634860	4932.YOR323C	270	1396
632839	4932.YLL041C	36.7	109
